index;state;date;country;recovered
5795;no;2020-02-13;Algeria;0.0
5796;no;2020-02-13;Andorra;0.0
5797;no;2020-02-13;Angola;0.0
5798;no;2020-02-13;Burma;0.0
5799;no;2020-02-13;Argentina;0.0
5800;no;2020-02-13;Armenia;0.0
5801;no;2020-02-13;Austria;0.0
5802;no;2020-02-13;Bahamas;0.0
5803;no;2020-02-13;Bahrain;0.0
5804;no;2020-02-13;Azerbaijan;0.0
5805;no;2020-02-13;Barbados;0.0
5806;no;2020-02-13;Burkina Faso;0.0
5807;no;2020-02-13;Bulgaria;0.0
5808;no;2020-02-13;Brunei;0.0
5809;no;2020-02-13;Brazil;0.0
5810;no;2020-02-13;Bangladesh;0.0
5811;no;2020-02-13;Bosnia and Herzegovina;0.0
5812;no;2020-02-13;Botswana;0.0
5813;no;2020-02-13;Bhutan;0.0
5814;no;2020-02-13;Benin;0.0
5815;no;2020-02-13;Belize;0.0
5816;no;2020-02-13;Belgium;0.0
5817;no;2020-02-13;Belarus;0.0
5818;no;2020-02-13;Bolivia;0.0
5819;no;2020-02-14;Luxembourg;0.0
5820;no;2020-02-14;Malawi;0.0
5821;no;2020-02-14;Madagascar;0.0
5822;no;2020-02-14;MS Zaandam;0.0
5823;no;2020-02-14;Lithuania;0.0
5824;no;2020-02-14;Gambia;0.0
5825;no;2020-02-14;Libya;0.0
5826;no;2020-02-14;Liberia;0.0
5827;no;2020-02-14;Lesotho;0.0
5828;no;2020-02-14;Lebanon;0.0
5829;no;2020-02-14;Latvia;0.0
5830;no;2020-02-14;Liechtenstein;0.0
5831;no;2020-02-14;Malaysia;3.0
5832;no;2020-02-14;Netherlands;0.0
5833;no;2020-02-14;Mali;0.0
5834;no;2020-02-14;Malta;0.0
5835;no;2020-02-14;Mauritania;0.0
5836;no;2020-02-14;Mauritius;0.0
5837;no;2020-02-14;Mexico;0.0
5838;no;2020-02-14;Moldova;0.0
5839;no;2020-02-14;Monaco;0.0
5840;no;2020-02-14;Mongolia;0.0
5841;no;2020-02-14;Montenegro;0.0
5842;no;2020-02-14;Morocco;0.0
5843;no;2020-02-14;Mozambique;0.0
5844;no;2020-02-14;Namibia;0.0
5845;no;2020-02-14;Nepal;1.0
5846;no;2020-02-14;Maldives;0.0
5847;no;2020-02-14;Laos;0.0
5848;no;2020-02-14;Indonesia;0.0
5849;no;2020-02-14;Zimbabwe;0.0
5850;no;2020-02-14;New Zealand;0.0
5851;no;2020-02-14;Georgia;0.0
5852;no;2020-02-14;Germany;1.0
5853;no;2020-02-14;Ghana;0.0
5854;no;2020-02-14;Greece;0.0
5855;no;2020-02-14;Grenada;0.0
5856;no;2020-02-14;Guatemala;0.0
5857;no;2020-02-14;Guinea;0.0
5858;no;2020-02-14;Guinea-Bissau;0.0
5859;no;2020-02-14;Guyana;0.0
5860;no;2020-02-14;Haiti;0.0
5861;no;2020-02-14;Holy See;0.0
5862;no;2020-02-14;Honduras;0.0
5863;no;2020-02-14;Kyrgyzstan;0.0
5864;no;2020-02-14;Hungary;0.0
5865;no;2020-02-14;India;0.0
5866;no;2020-02-14;Iran;0.0
5867;no;2020-02-14;Iraq;0.0
5868;no;2020-02-14;Ireland;0.0
5869;no;2020-02-14;Israel;0.0
5870;no;2020-02-14;Italy;0.0
5871;no;2020-02-14;Jamaica;0.0
5872;no;2020-02-14;Japan;9.0
5873;no;2020-02-14;Jordan;0.0
5874;no;2020-02-14;Kazakhstan;0.0
5875;no;2020-02-14;Kenya;0.0
5876;no;2020-02-14;Korea, South;7.0
5877;no;2020-02-14;Kosovo;0.0
5878;no;2020-02-14;Iceland;0.0
5879;no;2020-02-14;Nicaragua;0.0
5880;no;2020-02-14;Somalia;0.0
5881;no;2020-02-14;Nigeria;0.0
5882;no;2020-02-14;Sudan;0.0
5883;no;2020-02-14;Suriname;0.0
5884;no;2020-02-14;Sweden;0.0
5885;no;2020-02-14;Switzerland;0.0
5886;no;2020-02-14;Syria;0.0
5887;no;2020-02-14;Taiwan*;2.0
5888;no;2020-02-14;Tajikistan;0.0
5889;no;2020-02-14;Tanzania;0.0
5890;no;2020-02-14;Thailand;12.0
5891;no;2020-02-14;Timor-Leste;0.0
5892;no;2020-02-14;Togo;0.0
5893;no;2020-02-14;Trinidad and Tobago;0.0
5894;no;2020-02-14;Tunisia;0.0
5895;no;2020-02-14;Sri Lanka;1.0
5896;no;2020-02-14;Turkey;0.0
5897;no;2020-02-14;Uganda;0.0
5898;no;2020-02-14;Ukraine;0.0
5899;no;2020-02-14;United Arab Emirates;1.0
5900;no;2020-02-14;United Kingdom;1.0
5901;no;2020-02-14;Uruguay;0.0
5902;no;2020-02-14;Uzbekistan;0.0
5903;no;2020-02-14;Venezuela;0.0
5904;no;2020-02-14;Vietnam;7.0
5905;no;2020-02-14;West Bank and Gaza;0.0
5906;no;2020-02-14;Western Sahara;0.0
5907;no;2020-02-14;Yemen;0.0
5908;no;2020-02-14;Zambia;0.0
5909;no;2020-02-14;Gabon;0.0
5910;no;2020-02-14;US;3.0
5911;no;2020-02-14;Niger;0.0
5912;no;2020-02-14;Spain;0.0
5913;no;2020-02-14;South Africa;0.0
5914;no;2020-02-14;North Macedonia;0.0
5915;no;2020-02-14;Norway;0.0
5916;no;2020-02-14;Oman;0.0
5917;no;2020-02-14;Pakistan;0.0
5918;no;2020-02-14;Panama;0.0
5919;no;2020-02-14;Papua New Guinea;0.0
5920;no;2020-02-14;Paraguay;0.0
5921;no;2020-02-14;Peru;0.0
5922;no;2020-02-14;Philippines;1.0
5923;no;2020-02-14;Poland;0.0
5924;no;2020-02-14;Portugal;0.0
5925;no;2020-02-14;Qatar;0.0
5926;no;2020-02-14;Romania;0.0
5927;no;2020-02-14;South Sudan;0.0
5928;no;2020-02-14;Russia;2.0
5929;no;2020-02-14;Saint Kitts and Nevis;0.0
5930;no;2020-02-14;Saint Lucia;0.0
5931;no;2020-02-14;Saint Vincent and the Grenadines;0.0
5932;no;2020-02-14;San Marino;0.0
5933;no;2020-02-14;Sao Tome and Principe;0.0
5934;no;2020-02-14;Saudi Arabia;0.0
5935;no;2020-02-14;Senegal;0.0
5936;no;2020-02-14;Serbia;0.0
5937;no;2020-02-14;Seychelles;0.0
5938;no;2020-02-14;Sierra Leone;0.0
5939;no;2020-02-14;Singapore;17.0
5940;no;2020-02-14;Slovakia;0.0
5941;no;2020-02-14;Slovenia;0.0
5942;no;2020-02-14;Rwanda;0.0
5943;no;2020-02-14;France;2.0
5944;no;2020-02-14;Kuwait;0.0
5945;no;2020-02-14;Finland;1.0
5946;Isle of Man;2020-02-14;United Kingdom;0.0
5947;Jiangsu;2020-02-14;China;157.0
5948;Jiangxi;2020-02-14;China;187.0
5949;Jilin;2020-02-14;China;25.0
5950;Liaoning;2020-02-14;China;29.0
5951;Macau;2020-02-14;China;3.0
5952;Martinique;2020-02-14;France;0.0
5953;Mayotte;2020-02-14;France;0.0
5954;Montserrat;2020-02-14;United Kingdom;0.0
5955;New Caledonia;2020-02-14;France;0.0
5956;New South Wales;2020-02-14;Australia;4.0
5957;Ningxia;2020-02-14;China;24.0
5958;Northern Territory;2020-02-14;Australia;0.0
5959;Inner Mongolia;2020-02-14;China;6.0
5960;Qinghai;2020-02-14;China;11.0
5961;Reunion;2020-02-14;France;0.0
5962;Saint Barthelemy;2020-02-14;France;0.0
5963;Saint Pierre and Miquelon;2020-02-14;France;0.0
5964;Shaanxi;2020-02-14;China;54.0
5965;Shandong;2020-02-14;China;136.0
5966;Shanghai;2020-02-14;China;90.0
5967;Shanxi;2020-02-14;China;38.0
5968;Sichuan;2020-02-14;China;114.0
5969;Sint Maarten;2020-02-14;Netherlands;0.0
5970;South Australia;2020-02-14;Australia;0.0
5971;St Martin;2020-02-14;France;0.0
5972;Tasmania;2020-02-14;Australia;0.0
5973;Tianjin;2020-02-14;China;31.0
5974;Queensland;2020-02-14;Australia;0.0
5975;Tibet;2020-02-14;China;1.0
5976;Hunan;2020-02-14;China;364.0
5977;Hong Kong;2020-02-14;China;1.0
5978;Anguilla;2020-02-14;United Kingdom;0.0
5979;Anhui;2020-02-14;China;193.0
5980;Aruba;2020-02-14;Netherlands;0.0
5981;Australian Capital Territory;2020-02-14;Australia;0.0
5982;Beijing;2020-02-14;China;80.0
5983;Bermuda;2020-02-14;United Kingdom;0.0
5984;Bonaire, Sint Eustatius and Saba;2020-02-14;Netherlands;0.0
5985;British Virgin Islands;2020-02-14;United Kingdom;0.0
5986;Cayman Islands;2020-02-14;United Kingdom;0.0
5987;Channel Islands;2020-02-14;United Kingdom;0.0
5988;Chongqing;2020-02-14;China;152.0
5989;Curacao;2020-02-14;Netherlands;0.0
5990;Falkland Islands (Malvinas);2020-02-14;United Kingdom;0.0
5991;Hubei;2020-02-14;China;4774.0
5992;Faroe Islands;2020-02-14;Denmark;0.0
5993;French Polynesia;2020-02-14;France;0.0
5994;Fujian;2020-02-14;China;63.0
5995;Gansu;2020-02-14;China;39.0
5996;Gibraltar;2020-02-14;United Kingdom;0.0
5997;Greenland;2020-02-14;Denmark;0.0
5998;Guadeloupe;2020-02-14;France;0.0
5999;Guangdong;2020-02-14;China;362.0
6000;Guangxi;2020-02-14;China;36.0
