date;India;US;Spain;Germany;United Kingdom;Korea, South;Japan
2020-06-22;440215;2312303;246504;191768;280156;12484;17820
2020-06-23;456183;2347491;246752;192480;281038;12535;17879
2020-06-24;473105;2382426;247086;192871;281815;12563;17963
2020-06-25;490401;2422299;247486;193371;282512;12602;18055
2020-06-26;508953;2467554;247905;194036;283151;12653;18162
2020-06-27;528859;2510259;248469;194458;283785;12715;18254
2020-06-28;548318;2549864;248770;194693;284192;12757;18366
2020-06-29;566840;2590668;248970;195042;284812;12800;18476
2020-06-30;585481;2636414;249271;195418;285216;12850;18615
2020-07-01;604641;2687588;249659;195893;285279;12904;18838
2020-07-02;625544;2742049;250103;196370;285285;12967;19055
2020-07-03;648315;2795361;250545;196780;285787;13030;19185
2020-07-04;673165;2841241;250545;197198;286412;13091;19461
2020-07-05;697413;2891124;250545;197523;286931;13137;19668
2020-07-06;719664;2936077;251789;198064;287290;13181;19848
2020-07-07;742417;2996098;252130;198343;287874;13244;20055
2020-07-08;767296;3054699;252513;198699;288511;13293;20261
2020-07-09;793802;3117946;253056;199001;289154;13338;20617
2020-07-10;820916;3185737;253908;199332;289678;13373;21044
2020-07-11;849522;3245925;253908;199709;290504;13417;21430
2020-07-12;878254;3304942;253908;199919;291154;13479;21841
2020-07-13;906752;3364157;255953;200180;291691;13512;22125
2020-07-14;936181;3431574;256619;200456;292931;13551;22437
2020-07-15;968857;3498902;257494;200890;293469;13612;23172
2020-07-16;1003832;3576157;258855;201450;294116;13672;23510
2020-07-17;1039084;3647715;260255;202045;294803;13711;24104
2020-07-18;1077781;3711413;260255;202426;295632;13745;24946
2020-07-19;1118206;3773260;260255;202735;296358;13771;25446
2020-07-20;1155338;3834677;264836;203325;296944;13816;25706
2020-07-21;1193078;3899211;266194;203717;297389;13879;26463
2020-07-22;1238798;3970121;267551;204276;297952;13938;27136
2020-07-23;1288108;4038816;270166;204881;298731;13979;28114
2020-07-24;1337024;4112531;272421;205623;299500;14092;28883
2020-07-25;1385635;4178970;272421;206278;300270;14150;29684
2020-07-26;1435616;4233923;272421;206667;301020;14175;30548
2020-07-27;1480073;4290337;278782;207112;301708;14203;31142
2020-07-28;1531669;4356206;280610;207707;302261;14251;32116
2020-07-29;1581963;4426982;282641;208546;303063;14269;33382
2020-07-30;1634746;4495015;285430;209535;303910;14305;35144
2020-07-31;1695988;4562107;288522;210399;304793;14336;36234
2020-08-01;1750723;4620592;288522;211005;305562;14366;37804
2020-08-02;1803695;4668172;288522;211220;306309;14389;39116
2020-08-03;1855745;4713540;297054;212111;307251;14423;40099
2020-08-04;1908254;4771080;302814;212828;307926;14456;41347
2020-08-05;1964536;4823890;305767;214113;308832;14499;42686
2020-08-06;2027074;4883582;309855;215039;309796;14519;44167
2020-08-07;2088611;4941755;314362;216196;310696;14562;45764
2020-08-08;2153010;4997929;314362;216903;311461;14598;47342
2020-08-09;2215074;5044864;314362;217288;312574;14626;48782
2020-08-10;2268675;5094400;322980;218508;313392;14660;49617
2020-08-11;2329638;5141208;326612;219540;314542;14714;50302
2020-08-12;2396637;5197411;329784;220859;315581;14770;51288
2020-08-13;2461190;5248958;337334;222281;316729;14873;52471
2020-08-14;2525922;5313252;342813;223791;318190;15039;53818
2020-08-15;2589952;5361165;342813;224488;319232;15318;55051
2020-08-16;2647663;5403213;342813;225007;320343;15515;56074
2020-08-17;2702681;5438325;359082;226700;321064;15761;56717
2020-08-18;2767253;5483388;364196;228120;322177;16058;57636
2020-08-19;2836925;5529824;370867;229706;323008;16346;58728
2020-08-20;2905825;5573847;377906;231292;324203;16670;59900
2020-08-21;2975701;5622470;386054;233029;325263;17002;60949
2020-08-22;3044940;5667070;386054;233861;326595;17399;61916
2020-08-23;3106348;5701645;386054;234494;327643;17665;62658
2020-08-24;3167323;5739536;405436;236122;328620;17945;63158
2020-08-25;3224547;5777710;412553;237583;329821;18265;63888
2020-08-26;3310234;5821819;419849;239010;330967;18706;64779
2020-08-27;3387500;5867785;429507;240571;332509;19077;65653
2020-08-28;3463972;5913941;439286;242126;333806;19400;66499
2020-08-29;3542733;5961094;439286;242835;334916;19699;67353
2020-08-30;3621245;5996431;439286;243305;336668;19947;67958
2020-08-31;3691166;6030587;462858;244802;338083;20182;68396
2020-09-01;3769523;6073840;470973;246015;339415;20449;69023
2020-09-02;3853406;6113510;479554;247411;340929;20644;69619
2020-09-03;3936747;6150016;488513;248840;342708;20842;70278
2020-09-04;4023179;6200518;498989;250283;344686;21010;70866
2020-09-05;4113811;6244970;498989;251058;346513;21177;71467
2020-09-06;4204613;6276365;498989;251728;349500;21296;71918
2020-09-07;4280422;6300622;525549;253626;352451;21432;72213
2020-09-08;4370128;6327009;534513;254957;354932;21588;72724
2020-09-09;4465863;6360212;543379;256433;357613;21743;73264
2020-09-10;4562414;6396100;554143;258149;360544;21919;73916
2020-09-11;4659984;6443652;566326;259735;364088;22055;74558
2020-09-12;4754356;6485123;566326;260817;367592;22176;75206
2020-09-13;4846427;6519573;566326;261737;370930;22285;75646
