doubling every 4 days;doubling every 10 days;doubling every 15 days;doubling every 20 days;India;US;Spain;Germany;United Kingdom;Korea, South;Japan;date
26843545600.0;235253.42310339265;17688.484863587535;4850.293012833273;673165.0;2382426.0;246504.0;191272.0;280156.0;12003.0;17250.0;112
31922535419.419987;252138.375853039;18525.04623923684;5021.338226539206;697413.0;2422299.0;246752.0;191768.0;281038.0;12051.0;17293.0;113
37962506249.70062;270235.2201262888;19401.17205133309;5198.415336679907;719664.0;2467554.0;247086.0;192480.0;281815.0;12085.0;17369.0;114
45145282535.47924;289630.9375740099;20318.733465192956;5381.737057623773;742417.0;2510259.0;247486.0;192871.0;282512.0;12121.0;17439.0;115
53687091200.0;310418.75282132946;21279.690141255367;5571.5236050951935;767296.0;2549864.0;247905.0;193371.0;283151.0;12155.0;17484.0;116
63845070838.83997;332698.5815475139;22286.094420380774;5768.002960709312;793802.0;2590668.0;248469.0;194036.0;283785.0;12198.0;17530.0;117
75925012499.40125;356577.5107260926;23340.095707090346;5971.411145835569;820916.0;2636414.0;248770.0;194458.0;284192.0;12257.0;17588.0;118
90290565070.95848;382170.3133334764;24443.945060106667;6181.992505119013;849522.0;2687588.0;248970.0;194693.0;284812.0;12306.0;17658.0;119
107374182400.0;409600.0;25600.0;6400.0;878254.0;2742049.0;249271.0;195042.0;285216.0;12373.0;17725.0;120
127690141677.67995;438998.4102548656;26810.72954420804;6625.695512584815;906752.0;2795361.0;249659.0;195418.0;285279.0;12421.0;17780.0;121
151850024998.8025;470506.8462067853;28078.719480182415;6859.350160232275;936181.0;2841241.0;250103.0;195893.0;285285.0;12438.0;17820.0;122
180581130141.91696;504276.751706078;29406.67788792408;7101.24462123421;968857.0;2891124.0;250545.0;196370.0;285787.0;12484.0;17879.0;123
214748364800.0;540470.4402525777;30797.440923702205;7351.669471981025;1003832.0;2936077.0;250545.0;196780.0;286412.0;12535.0;17963.0;124
255380283355.3599;579261.8751480198;32253.978877308764;7610.925536017415;1039084.0;2996098.0;250545.0;197198.0;286931.0;12563.0;18055.0;125
303700049997.605;620837.5056426589;33779.4025157861;7879.3242454074625;1077781.0;3054699.0;251789.0;197523.0;287290.0;12602.0;18162.0;126
361162260283.8339;665397.1630950278;35376.96972717507;8157.188014843276;1118206.0;3117946.0;252130.0;198064.0;287874.0;12653.0;18254.0;127
429496729600.0;713155.0214521852;37050.09247847368;8444.850628946526;1155338.0;3185737.0;252513.0;198343.0;288511.0;12715.0;18366.0;128
510760566710.7198;764340.6266669529;38802.34410266618;8742.657643228133;1193078.0;3245925.0;253056.0;198699.0;289154.0;12757.0;18476.0;129
607400099995.21;819200.0;40637.46693038589;9050.966799187809;1238798.0;3304942.0;253908.0;199001.0;289678.0;12800.0;18615.0;130
722324520567.6678;877996.8205097312;42559.38028251071;9370.148454052001;1288108.0;3364157.0;253908.0;199332.0;290504.0;12850.0;18838.0;131
858993459200.0;941013.6924135706;44572.18884076158;9700.586025666546;1337024.0;3431574.0;253908.0;199709.0;291154.0;12904.0;19055.0;132
1021521133421.4396;1008553.503412156;46680.19141418072;10042.676453078411;1385635.0;3498902.0;255953.0;199919.0;291691.0;12967.0;19185.0;133
1214800199990.42;1080940.8805051553;48887.890120213335;10396.830673359815;1435616.0;3576157.0;256619.0;200180.0;292931.0;13030.0;19461.0;134
1444649041135.3357;1158523.7502960395;51200.0;10763.474115247545;1480073.0;3647715.0;257494.0;200456.0;293469.0;13091.0;19668.0;135
1717986918400.0;1241675.0112853178;53621.45908841608;11143.047210190387;1531669.0;3711413.0;258855.0;200890.0;294116.0;13137.0;19848.0;136
2043042266842.8792;1330794.3261900556;56157.43896036483;11536.005921418624;1581963.0;3773260.0;260255.0;201450.0;294803.0;13181.0;20055.0;137
2429600399980.84;1426310.0429043705;58813.35577584816;11942.822291671138;1634746.0;3834677.0;260255.0;202045.0;295632.0;13244.0;20261.0;138
2889298082270.6714;1528681.2533339057;61594.88184740441;12363.985010238026;1695988.0;3899211.0;260255.0;202426.0;296358.0;13293.0;20617.0;139
3435973836800.0;1638400.0;64507.95775461753;12800.0;1750723.0;3970121.0;264836.0;202735.0;296944.0;13338.0;21044.0;140
4086084533685.7583;1755993.6410194624;67558.8050315722;13251.39102516963;1803695.0;4038816.0;266194.0;203325.0;297389.0;13373.0;21430.0;141
4859200799961.68;1882027.3848271412;70753.93945435014;13718.70032046455;1855745.0;4112531.0;267551.0;203717.0;297952.0;13417.0;21841.0;142
5778596164541.343;2017107.006824312;74100.18495694736;14202.48924246842;1908254.0;4178970.0;270166.0;204276.0;298731.0;13479.0;22125.0;143
6871947673600.0;2161881.7610103106;77604.68820533236;14703.33894396205;1964536.0;4233923.0;272421.0;204881.0;299500.0;13512.0;22437.0;144
8172169067371.517;2317047.500592079;81274.93386077178;15221.85107203483;2027074.0;4290337.0;272421.0;205623.0;300270.0;13551.0;23172.0;145
9718401599923.36;2483350.0225706357;85118.76056502142;15758.648490814925;2088611.0;4356206.0;272421.0;206278.0;301020.0;13612.0;23510.0;146
11557192329082.686;2661588.652380111;89144.37768152315;16314.376029686551;2153010.0;4426982.0;278782.0;206667.0;301708.0;13672.0;24104.0;147
13743895347200.0;2852620.085808741;93360.38282836144;16889.70125789305;2215074.0;4495015.0;280610.0;207112.0;302261.0;13711.0;24946.0;148
16344338134743.033;3057362.5066678114;97775.78024042667;17485.315286456265;2268675.0;4562107.0;282641.0;207707.0;303063.0;13745.0;25446.0;149
19436803199846.72;3276800.0;102400.0;18101.933598375617;2329638.0;4620592.0;285430.0;208546.0;303910.0;13771.0;25706.0;150
23114384658165.37;3511987.2820389247;107242.91817683216;18740.296908104003;2396637.0;4668172.0;288522.0;209535.0;304793.0;13816.0;26463.0;151
27487790694400.0;3764054.7696542824;112314.87792072966;19401.17205133309;2461190.0;4713540.0;288522.0;210399.0;305562.0;13879.0;27136.0;152
32688676269486.066;4034214.013648624;117626.71155169632;20085.352906156822;2525922.0;4771080.0;288522.0;211005.0;306309.0;13938.0;28114.0;153
38873606399693.44;4323763.522020621;123189.76369480882;20793.66134671963;2589952.0;4823890.0;297054.0;211220.0;307251.0;13979.0;28883.0;154
46228769316330.74;4634095.001184158;129015.91550923506;21526.94823049509;2647663.0;4883582.0;302814.0;212111.0;307926.0;14092.0;29684.0;155
54975581388800.0;4966700.045141271;135117.6100631444;22286.094420380774;2702681.0;4941755.0;305767.0;212828.0;308832.0;14150.0;30548.0;156
65377352538972.13;5323177.304760222;141507.87890870028;23072.011842837248;2767253.0;4997929.0;309855.0;214113.0;309796.0;14175.0;31142.0;157
77747212799386.88;5705240.171617482;148200.3699138947;23885.644583342277;2836925.0;5044864.0;314362.0;215039.0;310696.0;14203.0;32116.0;158
92457538632661.48;6114725.013335623;155209.37641066473;24727.970020476052;2905825.0;5094400.0;314362.0;216196.0;311461.0;14251.0;33382.0;159
109951162777600.0;6553600.0;162549.86772154356;25600.0;2975701.0;5141208.0;314362.0;216903.0;312574.0;14269.0;35144.0;160
130754705077944.27;7023974.564077858;170237.52113004285;26502.782050339276;3044940.0;5197411.0;322980.0;217288.0;313392.0;14305.0;36234.0;161
155494425598773.75;7528109.539308565;178288.7553630463;27437.4006409291;3106348.0;5248958.0;326612.0;218508.0;314542.0;14336.0;37804.0;162
